tweetId,user,created,no_of_likes,source_of_tweet,sentiment,,,
0,AfricaCheck_KE,2023-05-27 11:36:00+00:00,3,None,"No, Pfizer has not admitted to lying about testing the effectiveness of its Covid vaccine. The pharmaceutical company actually said the vaccine’s effectiveness in preventing Covid-19 was thoroughl...",,,
1,MOH_DHP,2023-05-26 07:20:22+00:00,0,None,@Pitahkun @amerix All vaccines provided in the Country have been thoroughly tested and they have proven to be effective in reducing COVID-19 cases and saving lives globally. It's important to rely...,,,
2,MOH_DHP,2023-05-26 07:17:49+00:00,0,None,@kaburifrancis @paulinenjoroge All vaccines provided in the Country have been thoroughly tested and they have proven to be effective in reducing COVID-19 cases and saving lives globally. It's impo...,,,
3,RS_COVID19,2023-05-19 19:03:48+00:00,0,None,"Levels of handwashing and vaccine uptake in Kenya, Uganda, and Tanzania to prevent and control COVID-19: a systematic review and meta-analysis #covid https://t.co/Tsr6kfSLcF",,,
4,RS_COVID19,2023-05-17 18:48:40+00:00,0,None,"Influence of Government Policies on Hand Washing and Vaccine Uptake in Kenya, Uganda, And Tanzania in Relation to COVID-19 Prevention and Control: A Systematic Review #covid https://t.co/QO9QXZPczc",,,
5,RS_COVID19,2023-05-11 17:10:07+00:00,0,None,"Enablers and Barriers to Handwashing and Vaccine Uptake in Kenya, Uganda, and Tanzania in Relation to COVID-19 Prevention and Control: A Systematic Review #covid https://t.co/omZ7MWtsL8",,,
6,PanAfricare_ke,2023-05-04 07:20:46+00:00,2,None,"Data shows that rural off-grid communities are falling behind in COVID-19 awareness & vaccination. We're working with @Amref_Kenya  to bridge the gap. \nIn Lokwatuba, @TurkanaCountyKE, we held...",,,
7,ArgutDaniel,2023-05-03 01:21:02+00:00,1,None,"Ifimfikie Rais @WilliamsRuto . Yaani Kenya is the only country demanding for COVID-19 vaccine CERT in the whole world? Passed through Istanbul, Berlin, Copenhagen, Schiphol, London, Belgrade and C...",,,
8,TheAsthmaCures,2023-05-01 11:52:25+00:00,0,None,"US boosts Kenya apparel industry with $55mln in new trade deals - ZAWYA https://t.co/BmrzuRKr9h ... vaccines to tackle viruses such as Covid-19, Ebola, respiratory syncytial virus and HIV.“We're c...",,,
9,TheAsthmaCures,2023-04-29 15:51:25+00:00,1,None,"US boosts Kenya apparel industry with $55m in new trade deals - The East African https://t.co/AZ9Iq4NHYt ... facility near Nairobi, which will produce mRNA vaccines to tackle viruses such as Covid...",,,
10,Eastern_RCC,2023-04-27 05:15:22+00:00,6,None,2/ @AfricaCDC Saving Lives and Livelihoods program in p'ship with @MastercardFdn bolsters @MOH_Kenya vaccination efforts by supporting the integration of COVID-19 vaccines into routine immunizatio...,,,
11,Amref_Kenya,2023-04-26 08:31:22+00:00,2,None,The movable clinics brings COVID-19 vaccines and other health services to hard-to-reach communities across Kenya and ultimately help increase vaccine access and uptake in communities. #WorldImmuni...,,,
12,Amref_Kenya,2023-04-26 08:31:21+00:00,1,None,"The mobile clinic has facilitated vaccination and health promotion outreaches in nine counties. As of March 2023; 12, 901 people have received COVID-19 vaccines. #WorldImmunisationWeek2023\n#Amref...",,,
13,ntvkenya,2023-04-26 05:53:01+00:00,13,None,"World Immunisation Week:\n\nDr Collins Tabu: 600,000 children in Kenya missed out on immunisation during the Covid-19 period.\n\nWe want to highlight the importance of vaccines and restore immunis...",,,
14,irck_info,2023-04-22 05:23:00+00:00,16,None,"Inter-Religious Council of Kenya, County Interfaith Networks are mobilising for the COVID-19 vaccine in the counties.\n\nHave you been vaccinated💉? #PataChanjo\n\n#MobilisingFaithCommunities #Fait...",,,
15,Trans_NzoiaGov,2023-04-19 19:26:16+00:00,0,None,Inter-Religious Council of Kenya leads sensitization and vaccination campaign to increase COVID-19 vaccine uptake in Trans Nzoia. #Natembeyadelivers,,,
16,irck_info,2023-04-17 16:55:30+00:00,11,None,@MOH_Kenya @UNICEFKenya @marsabit_daily @HealthMarsabit @KilifiReferralH @BusRadioKajiado Religious Leaders were urged to focus on sensitising members of their congregations to embrace Covid-19 va...,,,
17,KahindiJames2,2023-04-13 16:02:42+00:00,0,None,Could these issues happening in High Schools be a result of the COVID 19 vaccine? Organs failing doesn't seem to be a food issue. @MOH_Kenya Mukumu Girls,,,
18,Sambannz,2023-04-13 07:32:02+00:00,14,None,"Yesterday, @UgandaRedCross hosted a support monitoring team from @KenyaRedCross \nKenya Red Cross is leading a consortium of partners under the Saving Lives and Livelihood project championing Covi...",,,
19,aliaskim9800,2023-04-09 17:00:28+00:00,0,None,"@Douglasayieko @Nakhumicha_S @NationAfrica @Davji @scherargei @edwinsifuna @ptason @citizentvkenya @MOH_Kenya @RashidAbdalla @uhckenya254 @UHCWorkers_KE IRONY,While they intend to construct a 64B ...",,,
20,LeoKemboi,2023-04-08 11:02:00+00:00,2,None,Analysis of the Auditor General’s Report on the Covid-19 Vaccine Rollout in Kenya https://t.co/jtUs8K0uSe,,,
